French,Fon
"J'aime les livres, même si je ne les lis pas.","Un yi wan nu wemaxixa lɛ, nu un ma te xa o"
Comment est-il ?,Nɛ̀ wɛ́ é cí ?
Cet homme est un grand devin.,Awo gbogbo ɖokpó wɛ́ nú nya ɛ́
Cherche à répondre par toi-même à cette question.,Dŏ gàn bó yí gbe nú nùkánbyɔ́ élɔ́ lɛ́
Il y a beaucoup de choses qui l’empêchent de dormir.,Nǔ gègé wɛ́ d’ádɔ̀ vɛ́ n’í
aller en voyage pour apporter son soutien à quelqu'un,yì tomɛ̀ nú mɛ
N'arrache pas le bien de ton prochain,Ma xo nɔzo towe gba fun o
La personne malade est morte.,Azɔ̀n ɔ gblé
s'accrocher à,fán - tɔ́ dŏ wŭ
Je ne suis pas bien dispos.,Lanmɛ ce ɖ'é jí ganjí ă
Comment vas-tu ?,Nɛ̆ a ɖe gbɔ̀n ?
Et regarde en arrière,Bo kpɔn gudo
L’élève répète sa leçon.,Azɔmεvi ɖo nukplɔnmε xa wε
Elle-même.,É ɖésú
grand buveur,jεtɔ́ví - sinmεnù
Il me harcèle.,É ɖò ɖiɖe dó mì wɛ̀
Il regorge de biens.,Dɔkun tún flá ɖ'así tɔ̀n
L’or et l’argent sont des métaux précieux.,Sika kpodo kwɛ kpo ɔ gan akwexɔ wɛ nyi ye
Il a secoué le sac de maïs.,E gbíjɔ́ gbadé’tí ɔ́
très belle (pour une jeune fille),jélíbá - tówúntowùn
Qui est ton successeur ?,Mὲ wέ jὲ tɛn towe mὲ ?
C'est une région très peuplée.,Gbɛtɔ sukpɔ ɖo gbe ɔ ji
hoquet,adɔsísó - adɔsúsó - hè - sɔ́késɔ́ ké - súkésúké
Ne dites pas de mensonges sur les autres.,Mi ma ɖó nuvú dó mɛɖé nú ó
Frapper avec un outil.,Xo mɛ kpodo ba kpo
Il a tombé quelques gouttelettes.,Jĭ fùn
La mangue est un fruit avec un noyau,Amaga ɔ atinsinsεn kpo kwi kpo wε.
Ta fille est devenue dévergondée.,Vì tówè nyɔ̀núví ɔ́ hun avlè
Aucun ne s'est énervé,Mɛ ɖebu sin xomɛ a
Il est constipé.,Xomɛ tɔn tɛ́
Que voyez-vous en classe ? ,Etε mi nɔ mɔ ɖo azɔxɔ ɔ mε ?
Les oiseaux mangent des vers ,Xεvi lε nɔ ɖu dovɔn.
bananier,kókwetín - kwékwétín
Salut à celui qui travaille.,Kú d’ázɔ̆
Qu’a fait Dossu au moment où les soldats sont venus l’arrêter ?,Ani wɛ̀ Dosu wà hwenu è sɔ́ja lɛ́ ny’ahwan wá wlíwlí í gbé é ?
Je ne peux pas encore dire grand-chose.,Un sixu ɖɔ nu gwegwe hwɛ a
C’est à qui de jouer ?,Mε wε jlo na xo ?
Je lui ai fait la remarque.,Un kɛ nu d'é jí n'í
Personne ne mange avec le malade,Mεti nɔ ɖu nu kpodo azinzɔnnɔ ɔ kpo a.
Ma mère m'a amené là-bas une fois.,Nɔ ce kplá mi yi dɔ́n azɔn ɖokpo
Pourquoi avez-vous aussi chaud ?,Nu tε wutu yozo hεn mi ɖe lε ɖesu ?
Le vent pousse le nuage .,Jɔhɔn ɔ ɖo akpɔkpɔ sisε wε
"Gros et tombant, énorme","Gɛjɛɛ̀, gɛjɛgɛjɛ̀"
taper le tam-tam,vlε̆ hŭn
"Ce qui est petit meurt petit, ce qui est grand meurt grand.","Kojwe nɔ ku kojwe, aditi nɔ ku aditi. "
Nous ôtons nos chapeaux .,Mi nɔ ɖe gbakun mitɔn lε
Les gens de la maison vont bien.,Xwé ɖo ɖagbe
fixer à une personne la part qu'il doit donner,zὲ nŭjɔ̀ nú mε
reconnaître quelqu'un (que l'on n'a pas vu depuis longtemps),ɖŏ ayì mε jĭ
Il m'a donné trop peu de temps pour écrire ces quelques pages.,E na mi gan mɛ kpɛɖe na do wlan wemakpaxwe enɛ ɔ lɛ
oisiveté,fɔnlín - nùɖèmánáwá - nùɖèmáwá
Il y a beaucoup de villages le long du fleuve.,Toxò gègé mlɛ́ dó tɔ ɔ́
Pourquoi gémis-tu ?,Đ’áni wú a ɖò azɔn wɛn wɛ̀ ?
L’assiette s’est fendue en quatre morceaux.,Agbàn ɔ̀ fɛ́n dó ɖó ɛnɛ̀
Je l'ai vu sur le chemin de chez nous.,Un mɔ ɛ̀ ɖ'àlì mìtɔ́n xò
Donc ils gâtent la vie des enfants.,Dɔnk ye nɔ hɛn vi lɛ sin gbɛ gble wɛ
La coiffure est belle.,A blă ɖa ɖagbe
Et ça devient beaucoup maintenant et on va dire…,Bɔ e na su kpɔ bɔ e na ɖɔ…
Je vais demander la permission.,Un na byɔ́ gbè
Il est devenu enragé.,E jɛ mà
tien,towè - wè
se laver parfaitement jusqu'à ce que les gouttelettes perlent sur la peau,sɔ́ kέn
Réunis-les sous l'apatam.,Dɔ̀n yè kplé ɖó azava'sá fínɛ́
C’est insipide.,É cí blibɔ̀
On caresse le chien.,Mi ɖo alɔ lili ɖo cuku ɔ wɛ
Remets ce livre à sa place.,Sɔ́ wèmá élɔ́ ɖó tɛn tɔn mɛ̀
La graisse est en train de fondre en grésillant sur le foyer.,Jò ɔ́ ɖò sínsínsinsin wɛ cíì ɖ’ado jí
J’ai entendu un grand bruit.,Un sè hlunhlún ɖaxó ɖé
Moineau,Xεvi kpεvi
Et je ne peux pas rester derrière lui pour l’accompagner.,Bɔ un si nɔ gudo tɔn ɖe jɛ xa gbɔn a
De différents aspects.,Nukúnmɛ́ nukúnmɛ̀
Tu dois peser plus que cela.,A ɖo na da hu mɔ
Les joueurs sont partagés en deux groupes.,Ayunmlimlixotɔ lɛ ɖo mima ɖo wɛ
Il ne faut pas gaspiller le pain,E ni na gu wɔxuxu ɔ o
Il l'a recouvert d'un pagne.,E sɔ́ ávɔ̀ cyɔ́n n'í
Les chiens le rapportent.,Cuku lε nɔ ze wa
Briser en petits morceaux,Gba kpεvikpεvi
Le chef fondateur de cette famille est le Christ.,"Mɛ e dó hɛnnu énɛ́ wá, bó ká ɖò gàn tɔ́n nyí wɛ́ ɔ́ nɛ́ nyí Kristu nɛ́"
Il est à l’agonie.,Azɔ̀n húzú
On ne sort pas sous le soleil.,E nɔ tɔ́n hwezivɔ́ mɛ̀ ă
Il a ouvert son portail largement.,É hun hɔntogbó tɔ́n kɛ́ vaà
Je n'ai plus faim,Un gɔ xo
Fais autrement.,Blŏ alɔkpà ɖĕvo
faire une offrande à un vaudoun,flɔ́n vodún
"C'est moi, Kofi.",Nyɛ Kofi wɛ
C’est dans la main de Dieu.,É ɖò Măwù’sí
Mets les élèves en rang.,Tò azɔmɛví lɛ́
Ça marche bien.,É ɖo yiyi ganji
Comment Kofi a-t'il fait ?,Nɛ Kofi blo gbɔn ?
Habille-le.,Dŏ awù n'í
A lundi,E yi tεnigbe
Il n'y a pas de soleil.,Hwezivɔ ɖe ă
Elles tombent de l’arbre.,Ye ɖo ayi jε wε sin atin ɔ ji
La lune est apparue (nouvelle lune).,Sùn wá jĭ
La sauce est fade.,Nùsúnnú ɔ́ dó tɔ́n
On va couper ce grand arbre.,E na sɛn atin ɖaxo elɔ
Comment est le pays ?,Nɛ gbɔn ?
Suspendre,Sɔ nu do kan ɖo ji
Il a sacrifié un poulet.,É sɔ́ kokló dó sá vɔ̀ ná
"A dire vrai, je ne sais pas.","Ma ɖɔ̀ nùgbó ɔ́, un tuwùn ă"
Quand te réveilles-tu ?,Hwetɛnu a nɔ fɔn ?
La semaine dernière.,Vodúngbégblámɛ̀ ɖè ɔ́
Je suis directeur.,Un nyi gan
Je suis encore ici.,Un kpò ɖò fí
"S’ils sont gentils, on les récompensera.","Nu ye nyɔ xomɛ ɔ, e na na nu ye"
Pourrais-je vous donner un conseil ?,Un si kplɔn nu mi a ?
Je ne te dois rien.,Un ma ɖù axɔ́ ɖĕbù dó wé nɛ́
S'il en était ainsi.,E nyí mɔ̆ hŭn
Que veux-tu?,Etɛ ba a ɖe ?
Il y a un beau clair de lune.,Sùn ɖì hwĕ
La photo est floue.,Fɔtó ɔ́ cí fitiì
Il m’a frappé avec force.,É dó nŭ mì bawùn
Il se gonfle.,E jí ná
Maman me donne des tartines de beurre .,Nɔ ce nɔ na mi wɔxuxu kpodo 'beurre' kpo
La rivière murmure .,Tɔsisa ɔ ɖo nu hunhun ɖɔ wε
La fête approche.,Xwe ɖò sisɛ yá wɛ
Il fait l’arrogant.,É nɔ́ bló gangannagansú dín
Les patates douces sont pourries.,Wɛlí lɛ́ jɛ̀ vă
On aurait pu croire qu'il était ivre.,Mi na ɔ ɖi ɖɔ ahan e nu mu
Le ciel devient très noir (avant l’orage).,E dó ahŏ dò
Bonjour !,A fɔn à !
Je suis en train de l’adorer.,Un ɖo sinsɛn ɛ wɛ
Il s’est converti au christianisme.,É húzú klistáwun
Est-ce bien vrai ?,Nùgbó jɛ́n wɛ́ à ?
Je suis en train de ranger les affaires pour partir en voyage.,Un ɖò nù sɛ́ xwɛ̀ wè bó ná yi tomɛ̀
Il regarde.,É ɖò kpíkpɔ́n wɛ̀
Les bonnes oranges,Yovozεn ɖagbe lε
Est-ce que tu es bien arrivé ?,A wa gangi à ?
J'ai peu d'amis fiables.,Un ɖo xɔntɔn vivɛ kpɛɖe
aplanir la terre,gbìgbá kɔ́ zɛɛ́n
Tout le corps.,Agbaza ɔ bi
Il est différent de moi.,É gbɔ̀n vo nú mì
Sa conduite est honteuse.,Jijɔ tɔn kpɛn wùn
Les mécaniciens sont au travail.,Kɛkɛbloɖotɔ lɛ ɖo azɔ wa wɛ
Ses livres ne sont pas déchirés ,Wema tɔn lε nɔ vun a.
Il néglige son travail.,E nɔ́ dó vɛ̀ nú azɔ̆ tɔ̀n
fermer avec un couvercle,sú nŭ dŏ - xwè nŭ d'é nú - xwè nŭ dŏ
Parce que je m'inquiète pour toi ,Do un do xεsi di ɖo ta towe mε wε.
C'est plein,E gɔ
Dis-lui.,Đɔ̀ n’í
Le piment m’est interdit.,Takín vɛ́ mì
On a élu quelqu’un chef chez les Nèsuroué.,E blá akpa nú vodún
Il m’a fait des chatouilles.,É dó kolíkòlí nú mì
"Vois-tu, papa ?","A mɔ à, tɔ ce ?"
Et soixante Francs (cinq x douze) ?,Ɖɔla wewe lo ?
Bien me dire clairement l'affaire que je sache.,Wă ɖɔ̀ xó ɔ́ xéɖéxéɖé má sè
Lorsqu’il fini de parler.,Ée é ɖɔ̀ mɔ̀ vɔ̀ ɔ́
Que vas-tu manger ?,Etɛ a na ɖu ?
Je ne sais pas,Un tuwun ă
"""Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo a ɖe nɛ"" ","Nyaɖe nyɛ awon ɖo Ahwlikpɔnuwa nukɔn bo kpɔn gudo. E ɖɔ : ""Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo a ɖe nɛ"""
partir en guerre,sɔ́ ahwàn yì
Et ça fait souffrir les gens.,bɔ e nɔ… e ɖo…ɖo ya nu mɛ lɛ
"Kofi est venu, mais il n'a pas attendu : ",Kofi wa loɔ e nɔ te ă.
Ca m'a bouleversé.,E xɔ̀ wù nú mì
serpent très venimeux,aɖiɖàn - lὲnklέnsέn
Qu'est-ce que tu regardes depuis dix minutes ?,Nu tɛ kpɔn a ɖe sin ceju wo ?
Ne pars pas.,Ma yi o
Il a fait des buttes pour planter l’igname.,É nyi zùn bó ná dó dó teví
Au revoir !,Bo yi bo wá mɛ̀
J'aime mieux nager que courir ,Un yi wan nu tɔ lilε hu wezunkikan.
Ce que j’ai vu là m’a beaucoup impressionné.,Nù énɛ́ è un mɔ ɔ́ xwyɔ́ wù nú mí tawùn
Modère ta colère.,Đé xomɛsin towe kpò
Le malade n’aura rien à manger ce soir.,Azinzɔnnɔ ɔ na mɔ nuti ɖu gbadanu elɔ a
Je demande le secours de Dieu.,Un byɔ́ tenɔkpɔ́nmɛ Măwŭ tɔ̀n
Je suis convaincu que ce bâtiment est en verre !,Un na ɖɔ nu ɖɔ xo enɛ ɔ go gbigba wɛ bolo
"C'est incroyable, c'est le camarade de chambre de mon frère !","Nu ma ɖi wε, e nɔ doxɔ ɖokpo ɔ mε xa nɔvi ce !"
Il sortit l’épée de son fourreau.,E sún hwì ɔ̀ sín akún mɛ̀
Nous allons essayer de faire des progrès dans notre travail.,Mì nà tɛ́n kpɔ́n bɔ̀ nukɔnyiyi ná tíin nú mĭ ɖ'àzɔ̀ ɔ́ mɛ̀
Nous avons regardé,Mi kpɔn
caissier,àkwέhέntɔ́ - àkwέjíkpɔ́ntɔ́ - àkwέkɔ́nnɔ́tɔ́ - dɔkunjikpɔ́ntɔ́
se remplir de trouble,xò zĭn
J'ai mes raisons.,Nù é wú wɛ́ é ɖ'así cè
Les autres.,Mɛ ɖĕvo lɛ́
Pourquoi bois-tu un peu d’eau ? ,Etε wutu a ɖo sin kpεɖe nu wε ?
Je joue au ballon ,Un ɖo ayunmlimli xo wε.
Pourquoi as-tu acheté des livres ?,Etɛ wutu a xɔ wema ?
Cette bière est chaude.,Bia elɔ hun zo
J’escalade la montagne.,Un ɖo so ɔ fan wɛ
C'est le sien,Eyεtɔn wε
Le paresseux se décide à mieux travailler.,Fɔnlinnɔ ɔ na gbeta ɖɔ emi na w'azɔ ɖe wu mi kpe ɔ
Il fait un grand feu.,E ɖo myɔ ɖaxo ɖokpo zo
Quelqu'un est venu.,Mɛɖe wá
C’est bon marché,E kpɔ
Ils commencèrent à se disputer.,Yĕ jɛ̀ nù’dɔ̀n jí
Le boulanger retire le pain du four.,Wɔxuxublotɔ do wɔxuxu ɖe sinsinkpo mɛ we
mâchoire édentée,nyɔ soò
On les coupe.,Mi ɖo ye sɛn wɛ
Tu as mal fait ton travail,A blo azɔ towe gbɔ
C'est un livre intéressant.,Wemaxixa ɖagbe wɛ
Elle est plus belle que toutes ses compagnes.,E nyɔ́ ɖɛkpe hú há tɔ́n lɛ́ bĭ
Je ne veux pas mettre la jalousie entre vous.,Un jló ná dó wùhwìnhwán mi mɛ̀ ă
Bande-lui sa plaie.,Blá akpa tɔn n'í
groupe,ahwàn - ajòbă - donu - gbε̆ - gbὲkplékplé - gɔnu - sónú
"Il l'appela, le gronda sévèrement et lui dit : ",E ylɔ e bo su xo ɖɔ ta tɔn bo ɖɔ n'i ɖɔ
Ses cheveux sont ébouriffés comme la chevelure d’Azizà.,Ɖa tɔn cí kɛyɛɛ̀ aziza ɖa ɖɔ́hùn
méfait,nùdìdá - nŭnyanya
Il n’ira jamais à l’école ,E na yi azɔmε gbeɖe a.
Je ne t’aimerai pas,Un na yi wan nu we ǎ
personne aimable,mε ɖagbe
"Oui, elle est bien éclairée et aérée par de grandes portes et fenêtres.",E zawe tawun bɔ tɛnmɛ ɖe mɛ kpodo hɔn tɔn ɖaxo lɛ kpo
La tempête déracine l’arbre ,Jijɔhon ɔ hɔn ɖɔ nu atin ɔ.
Il m'a fait cadeau.,E ná nŭ mì
Le chrétien a entendu la messe.,Mawusɛntɔ ɖo to amisa ɔ
Il a déprécié le maïs et l’a acheté.,E gbíjɔ́ agbadekún ɔ́ bó xɔ̀
Tous les enfants donneront leur cotisation pour faire la cérémonie de fin d’année.,Vì lɛ́ bì ná ná nùjɔ́ dó wà xwetanú
Je veux être le premier acheteur auprès de toi,Un jlo na kpan’lɔ
Cela brille avec éclat.,É nɔ́ kɔ́n mlamlà
Il a fait un gros bénéfice.,E ɖu lè hú lè
Ne crois-tu pas ?,A ɖì à é ?
Quelle pâte as-tu cuisinée ?,Wɔ tɛ a ɖa ?
Kofi est venu et nous sommes partis .,Kofi wa bɔ mi yi
Il y a presque deux ans.,E ɖibla blo xwe we
Et comment vont les enfants ?,Bo nɛ vi lɛ fɔn gbɔn ?
usage,hwεndò - nùwálɔ̀
Le gendarme guette les voleurs.,Kponɔ ɔ ɖo ajotɔ lɛ cɔ wɛ
"Si Kofi travaille, il aura de l'argent","Nu Kofi w'azɔ ɔ, e na ɖo akwε"
Attention dans la maison !,Agoo ɖò xwé gbè
Frapper avec un outil .,Xo mε kpodo ba kpo
Les oiseaux bâtissent leur nid sous le toit,Xεvi lε ɖo adɔ yetɔn gba wε ɖo aza ɔ gwle.
Je vais envoyer une lettre.,Un na sɛ wema ɖokpo do
sévère,adàntɔ́nɔ̀ - jijɔsyέnsyέnnɔ̀
Une semaine.,Vodungbegblamɛ ɖokpo
se laisser approcher,lɔ̀n mε
J’ai heurté quelque chose du pied.,Un klɛ́n afɔ dó nù wú
"Sois courageux, n’est-ce pas !",Glă se à !
Il m’a déclaré ouvertement l’affaire.,E hùn nù ɔ̀ mɛ́ nú mì
Cotonou est une grande ville.,Kutɔnu nyi toxo ɖaxo
Achète-moi un chapeau comme celui-là.,Xɔ gbakun ɖokpo nu mi ɖi enɛ ɔ ɖɔhun
"C'est pourquoi tu seras vagabond, fugitif sur la terre (Genèse 4,12)","Enɛ ɔ wutu ɔ́́ a na huzu alaga, gbejɛgbejɛ ɖo ayikungban ji"
le dessus de l'épaule,abɔ̀jí - abɔ̀tá
Il a des ennuis.,É ɖò akpɔ mɔ wɛ̀
Je me suis inquiété pour rien.,Un jɛ̀ tagba dó wùvɔ́
Les enfants sont-ils réveillés ?,Vi lɛ fɔn à ?
Il se trouve au zoo ,E ɖo fi ɖe kanlin lε e nɔ nɔ ɔ.
Mon père m’a dévoilé le secret de l’affaire (dont on va parler).,Tɔ́ ce wɛ gbà xó nɛ́ ɔ́ sín kpá nú mì
Midi sonne au clocher du village,Gan wewe xo ɖo gletoxo mε
Je ne trouve pas le loisir.,Un nɔ mɔ vivò ă
Cela est inutile à quelqu’un plus que le commerce des tomates,E gu mɛ hu gbo’jɔ
Il se tourna vers lui.,É kpan t’ɛ̀
De grosses gouttes de pluie tombent des nuages ,Ji sin ɖaxoɖaxo ɖo ayi jε wε sin ji.
On soigne son travail ,Mi ɖo azɔ tɔn blo ɖo wε.
Je n’ai pas encore fini de manger.,Un kpò ɖò nù ɖú wɛ̀
Combien te dois-je ?,Nabí un ɖu dó wè ?
On ne reste pas au soleil.,E nɔ nɔ̀ hwezivɔ́ gbè ă
Vous ouvrez les fenêtres .,Mi nɔ hun flεsεε lε
Nous nous rencontrerons pour une affaire.,Mì nà kpé ɖó nù ɖé wú
Les feuilles sont tombées de l’arbre.,Ama j'ayi sin atin ɔ ji
"Si par hasard il vient, appelle-moi.","Vlavo n’í wá ɔ́, a na wá ylɔ́ mì"
Tu t’es blessé.,A gble wu hwɛɖee
Il s’est agrippé à moi.,É zún fan mì
Il n’en réchappera pas.,Nù ɔ́ ɖíé tɔ gɛ̀ dó jì tɔ́n é
pain sans levain,wɔ̀xúxú maɖótɔ́n
Il fait très froid.,Jɔhɔn gbɛ́é
Ils ont une tête ronde et gros ventre ,Ye ɖo ta mlinɔɔn bo ɖo adɔgo ɖaxo.
Vends-moi du condiment nété.,Xá nu ji
Il s’est remis à boire.,E vɔ lɛ bɛ ahan nunu
Un malheur l’a frappé.,Awè xó è
Et la serviette ?,Wusunsunnu lo ?
La plus jeune dit en se moquant,Vi kpεvi bi ɔ ɖɔ kpodo nukiko kpo.
Ils se font de la concurrence.,Yĕ ɖò atɛ ci wɛ̀
C’est cher.,Axi tɔn flá
La cour de la maison.,Xwe ɔ sin kɔxota
inimitié familiale,xwé kὲn - xwékɛ̀n
Et le chargent sur la charrette.,Bo nɔ bɛ ɖo kɛkɛvi ɔ mɛ
aiguillon,sέ - wìínsɛ́
Pourquoi êtes-vous heureux ? ,Etε wutu mi ɖo awajijε mε ?
"Vieillard, vieille femme","Nyɔ̀ɖáxó, nyɔ̀ɖáxónɔ̀"
Il s'est égaré dans la brousse.,E bú ɖò nùkánmɛ̀
La foudre est tombée sur quelque chose.,Sò jὲ nŭ
"A l'instant, elle en rencontra et s'y plongea avec délices. : ","Ɖo tlolo mε ɔ, e mɔ wiimi bo zɔn jε mε."
Avec quoi ?,Kpodo etɛ kpo ?
J'ai deux enfants.,Un ɖo vi we
C’est la même chose.,Nǔ ɖokpó ɔ́ wɛ̀
"Ne prends pas ce livre, prends celui qui est au-dessus .","Ma ze wemaxixa enε ɔ o, ze ɖe ɖo aga ɔ"
Je prendrai du thé.,Un na nu tii
Je suis en train de faire ton éloge.,Un ɖò gbe towe xo mlá wɛ̀
J’ai gagné beaucoup d’argent aujourd’hui.,Un mɔ akwε gege egbe
La poule caquette pour pondre.,Kokló ɖò azin kɔ́ wɛ̀
On s’allonge sur le sable de la plage .,Mi ɖo mi ɖe dlεn ɖo xuta nyεkεn mε
tourbillon de vent,axásáxásá jɔhɔ́n
sauter par dessus quelque chose,lɔ̆n dŏ asà - lɔ̆n fɔ̀n
Pendant quinze secondes.,Nu nukun hwihwe afɔtɔn
Me voici.,Nyɛ ɖíè
La corde finira par casser.,Kàn ɔ́ ná wá wɛ́n
"Mes excuses, je t'en prie.",Dɛ́dɛ́ sia !
Est-ce que tu as veillé la nuit ?,Zàn wɛ̀ a xo à ?
déclencher quelque chose contre quelqu'un,fέ nùɖé dŏ mε
Mets ton vélo contre le mur.,Sɔ́ kɛkɛ́ tówé gán ɖó dò wú
Je vais marier mon fils.,Un ná d'asi nú vĭ cè
Voilà la fille que tu m'as montrée.,Nyɔnu ɖie a xlɛ mi ɔ ɖie
Je ne me sens pas très bien.,E víví nú mì ă
Je vois trop peu de gens en ce moment.,Un nɔ mɔ mɛ kpɛɖe hwe elɔ nu
Ces chats.,Awii enɛ ɔ lɛ
Etre très vieux,Kpò kàn
Les joueurs sont partagés en deux groupes ,Ayunmlimlixotɔ lε ɖo mima ɖo wε.
Kofi est maître du cours élémentaire .,Kofi mεsi wemaxɔmε ayijε tɔn mε
Beaucoup de gens se baignaient .,Mε gege ɖo tɔ mε
Je pense que nous ne serons pas à l'heure,Un lin ɖɔ mi kun na sεgbe ɖo gan mε o.
Votre chat,Awii mitɔn
Kofi n'a pas bu d'eau,Kofi nu sin ǎ
Frapper avec un outil.,Xo mɛ kpodo ba kpo
Tu vas te décourager et tout abandonner.,"A ná kpɔ́n dó mɔ̀ wú, bó jó nŭ bì dó"
Se marier selon le rite chrétien,Wlĭ alɔ̀
Il a mis l'échelle contre le mur.,E sɔ́ alyá gán ɖó dò wú
Je me débrouille à peu près,Un nɔ tεnkpɔn kpεɖe.
Il a l’intention de régler le litige,E jlo na ɖɔ xo ɔ gbo
Ils l'ont arrêté et il est impossible à maîtriser.,Yè wlí ì bɔ̀ é jɛ̀ glŏjò
Je vous ai dit que nous pouvons tout réparer.,Un ɖɔ nu mi ɖɔ mi hεn ɔ mi na blo nu bi ɖo
lobo na jla nunɔmɛ eɖee tɔn kpo do hɛnnu tɔn kpan ɖó,Gbɛtɔ bĭ ɖo na na ɖó nu e na zɔn bɔ é na hwlɛn eɖee gan ɖo azɔnsi e
perdre sa peau,flé hăn
On trouve cet enfant partout où l’on va.,"Vì élɔ́, klɛ́nmɛ̀klɛ́nmɛ̀ gbɔ́n wɛ́ jɛ́n nɔ́ ɖè"
Va le supplier de venir.,Yi sà vo n’í ní wá
C'est ton visage.,Nukunmɛ towe wɛ
Pourquoi me dis-tu cela ?,Ani wútú a ɖò mɔ̀ ɖɔ́ nú mí wɛ̀ ?
C’est à ma charge.,É cí kɔ jí nú mì
Une seule personne peut-elle donner la vie ?,Gbɛtɔ́ ɖokpó sìxú ná gbɛ mɛ à ?
tomber sur,jὲ... jĭ
Il m’a dit qu’il viendra demain.,E ɖɔ emi na wa sɔ
Je suis en bonne santé.,É nyɔ́ nú mì
gardien,agbòcɔ́tɔ́ - găɖì - nùjìkpɔ́ntɔ́ - nùxɔ́tɔ́
Il transporte du sable.,E ɖò kɔ́ bɛ́ yí wɛ̀
fermer la porte légèrement,bɔ̀ hɔ̀n dŏ
La lune est apparue (nouvelle lune).,Sùn wá jĭ
Il me connaît.,E tuwun mì
Ils ont tort tous les deux ,Ye mε we lε ɖebu sin hwε jo a.
grosse hache,asyɔ́gbólì - gbolu
Il est bien bâti.,É lí dŏ
Ils sont allés au front.,Yĕ yì sozonu
Le maïs est vigoureux.,Agbade hwán
Bill et moi parlons fon et français.,Bill kpodo nyε kpo nɔ ɖɔ fongbe kpodo fransegbe kpo
Il rendra compte.,E ná sún sín tɔ̀n
C’est au-dessus de mes forces.,É hú găn mì
Kofi apprend ses leçons .,Kofi kplɔn nukpinkplɔn tɔn lε
C'est tout près.,E lín dó fí ă
Le zoo est un très bel endroit ,Fi ɖagbe wε nyi fi ɖe kanlin lε e nɔ nɔ ɔ.
Je ne l’ai pas remarqué.,Un ɖó nukún jĭ tɔ̀n ă
s'appliquer à quelque chose,ɖò... wŭ
Dieu a créé la première poule !,Mawu wε blo koklosi nukɔntɔn ɔ.
"Oui, je vais boire un peu d’eau","Εεn, un na nu sin kpεɖe"
Il doit y avoir une autre solution,Wlεnwin ɖevo ɖo na ɖe.
Oh ! La circoncision ! oh !,"O, adagbigbo ɔ, o !"
Cet enfant est squelettique,Vi elɔ ɖo xu glaoglao
C’est très pimenté.,É ɖò yaɖayaɖà
Regarde-moi ce vaurien.,Kpɔ́n nù élɔ́
La viande est cuite.,Lan ɔ bi
Combien de classes compte-t-elle ?,Azɔxɔ nabi wε e ɖo ?
Il a déraciné des arachides.,E hɔ̀n aziín
Il se mit à réfléchir.,É wá d’áyi dò
Il est impitoyable.,E má nɔ́ sé gbɔ̀
Tu cherches la gomme et tu la trouves.,A na ba wemasunsunnu ɔ bo na mɔ
Je passerai par ici pour aller chez moi.,Fí wɛ̀ un ná gbɔ̀n bo yi xwé
Fumer la pipe,Nu azɔkwε
Il raisonne bien.,É ɖò lugbè
C'est du cuir véritable.,Anyù ɖésú wɛ̀
Les enfants ne sont pas trop heureux.,Vi lɛ ɖo awajijɛ mɛ ganji a
J’aimerais un lit neuf avec un oreiller blanc,Un jlo zan yɔyɔ kpodo kɔɖonu wewe kpo.
La cour de la concession,Xwe gbe sin kɔxota
C’est très bon.,É víví káká
"Je le sais, maman, notre poule noire l'a pondu.","Un tuun, koklosi mitɔn wiwi ɔ wɛ ɖo"
Quand as-tu vu ta mère pour la dernière fois ? ,Hwetenu a mɔ nɔ towe gudogudo tɔn ɔ ?
Je t’ai eu.,Un sɔ gba wè
Relève la chaise.,Fɔ́n zinkpo ɔ́ xwe tè
nasse,ajà - xà
Laquelle est plus belle ?,Mɛ ɖe tɛ nyɔ ɖɛkpɛ ?
Il est passé à mon insu,E gbɔn ta ce nu
Voilà kofi.,Kofi nɛ
tournant,gwè - hùzùhúzwí - kɔ́nà - xáláxálá - xásáxásá - xíxátɛ̀n
Le serpent de mon camarade de classe ne vit pas dans une cage.,Dan xɔntɔn ce azɔmɛ tɔn ɔ nɔ ɔ aja mɛ a
Je les aime,Un yi wan nu ye e
Cet homme est courageux.,Nya élɔ́ glá
merci !,ooo !
Qu’est-ce qui se passe ?,Nu tɛ wɛ jɛ ?
"Même si ton père se met à divaguer, ne t’en offusque pas.","Tɔ́ tówé ná bó wá jɛ̀ gblò fán jí hǔn, ma dó mɔ̀ nùɖé ná ó"
Tu dis un prix cher.,A ɖɔ axi vɛ
Comment vont ta femme et tes enfants ?,Nɛ asi towe kpodo vi towe lɛ kpo fɔn gbɔn ?
La pluie a commencé.,Jì wlí
"Peu après, il y a un lac.",E ze finɛ wu kpɛɖe ɔ tɔ sisa ɖokpo ɖo finɛ
Oh là là !,Yĕgè !
Il est venu et il a mangé,E wa lobo ɖu nu
Nous ne pouvons labourer ce champ pierreux .,Mi sixu lε gle hwan nɔ enε ɔ a
"Toi, tu as regardé.",Hwɛ kpɔn
Il n’écoute plus personne.,É gbà gbè alà bĭ
C'est différent,E gbɔn vo
